Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BCO RODOBENS S.A.;0,00;0,00
2;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;CAIXA ECONOMICA FEDERAL;0,42;5,18
3;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BANCO SEMEAR;0,50;6,17
4;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BCO DO BRASIL S.A.;0,71;8,87
5;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;OXY CH;1,12;14,27
6;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BCO DAYCOVAL S.A;1,23;15,84
7;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BARI CIA HIPOTECÁRIA;1,28;16,52
8;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BANCO BARI S.A.;1,39;17,96
