Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
58;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;PICPAY BANK - BANCO MÚLTIPLO S.A;7,53;138,98
59;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;KREDILIG S.A. - CFI;7,56;139,68
60;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;PINTOS S.A. CFI;7,56;139,71
61;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;MERCADO CRÉDITO SCFI S.A.;7,83;147,10
62;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO RENDIMENTO S.A.;8,15;156,16
63;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;GAZINCRED S.A. SCFI;9,42;194,43
64;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;LECCA CFI S.A.;9,66;202,46
65;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;GRAZZIOTIN FINANCEIRA S/A;9,74;204,99
66;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO SENFF S.A.;10,42;228,52
67;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BECKER FINANCEIRA SA - CFI;10,48;230,79
68;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;AGORACRED S/A SCFI;10,74;240,10
69;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;CALCRED S.A.;11,05;251,60
70;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO BMG S.A.;11,14;255,30
71;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;PEFISA S.A. - C.F.I.;11,15;255,50
72;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO MASTER;11,47;268,18
73;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;CENTROCRED S.A. CFI;11,53;270,23
74;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO SEMEAR;11,70;277,40
75;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;ZEMA CFI S/A;12,61;315,70
76;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;CREDIARE CFI S.A.;13,00;333,33
77;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;HS FINANCEIRA;13,17;341,37
78;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;MIDWAY S.A. - SCFI;13,20;342,86
79;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;VIA CERTA FINANCIADORA S.A. - CFI;13,54;358,84
80;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO MERCANTIL DO BRASIL S.A.;13,63;363,24
81;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO DAYCOVAL S.A;14,20;392,15
82;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;NEGRESCO S.A. - CFI;15,10;440,70
83;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO AFINZ S.A. - BM;15,55;466,39
84;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;REALIZE CFI S.A.;15,73;477,01
85;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;LEBES FINANCEIRA CFI SA;16,04;496,28
86;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;GOLCRED S/A - CFI;16,45;521,94
87;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;COBUCCIO S.A. SCFI;16,62;532,53
88;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;JBCRED S.A. SCFI;17,33;580,40
89;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;CREFISA S.A. CFI;20,08;798,43
