Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;CAIXA ECONOMICA FEDERAL;0,87;10,93
2;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO SANTANDER (BRASIL) S.A.;1,10;14,05
3;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;APE POUPEX;1,67;22,03
4;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;OXY CH;1,97;26,40
